,Date,I_ext,a,b,Tl_a,SSPC_MBD,SSPC_MAPD,SSPC_RMSD,SSPC_MAD,SSPC_SD,SSPC_NSE_o_R2,SSPC_SBF,SSPC_U95,SSPC_TS,SSPC_WIA,SSPC_LCE,SSPC_KSI,SSPC_OVER,SSPC_CPI,ESRA_RMSD,ESRA_KSI,ESRA_OVER,ESRA_CPI,I&P_RMSD,HLJ_RMSD,Mghouchi_RMSD,Biga_RMSD,FR1999_RMSD,S1994_RMSD,DPP_RMSD,M1976_RMSD,L1970_RMSD,Kasten_RMSD,SP1965_RMSD,Hourwitz_RMSD
0,2010-03-27,1367.1502,0.104,-0.2958,1.0609,0.8838,0.8878,1.1465,35.398,7.3052,-0.7759,0.6262,14.4935,7.5585,0.6419,-0.157,2032.136,1908.3456,985.6936,168.9636,63004.7445,62904.7445,31477.9455,8.0913,550.8495,532.0619,61.3089,595.7129,192.4652,531.6674,190.9442,174.2888,231.345,167.6594,173.8681
1,2010-03-28,1366.3451,0.1591,-1.7426,1.6749,1.2262,1.2713,2.0869,29.572,13.4967,0.1907,0.3197,26.768,3.4823,0.6254,0.2386,1590.5907,1483.5274,769.573,162.9136,43966.1314,43866.1314,21959.1091,8.0781,547.7898,527.8726,57.9423,592.2689,185.5383,527.427,184.0403,167.5233,223.5631,161.5995,180.2209
2,2010-03-29,1365.5393,0.1002,-0.0578,1.0208,9.6371,10.9889,14.9492,573.9732,87.7543,-1.9381,-0.2949,174.4762,6.4222,0.3082,-0.4921,20623.0287,20524.6655,10294.3981,126.8013,54149.7949,54049.7949,27057.3721,7.8352,505.9489,484.6738,54.8388,549.7095,146.7794,484.1814,145.4175,130.4705,181.6459,125.6173,234.9046
3,2010-03-30,1364.7332,0.163,-1.5172,1.7195,0.9239,0.9255,1.0689,270.7974,6.5261,0.8248,0.9878,12.9616,29.3611,0.9578,0.5866,5844.6729,5741.9384,2897.1873,134.8844,140143.5649,140043.5649,70047.3169,8.016,531.3468,507.3913,37.1064,574.3663,154.7797,506.8524,153.3542,137.1887,189.9687,133.5412,205.4295
4,2010-04-02,1362.3148,0.2457,-3.5105,2.7244,1.8962,1.9512,2.3774,400.3462,15.8024,0.6094,0.6532,31.3213,19.1619,0.8713,0.436,10893.8875,10788.4474,5421.7725,165.0376,144209.6667,144109.6667,72081.0221,8.2674,575.2824,546.391,76.8265,615.8888,181.6026,545.3696,180.2806,164.6258,212.856,163.6972,171.0876
5,2010-04-04,1360.705,0.133,-0.8248,1.3792,-1.169,1.6522,2.2986,716.6872,15.4503,0.7129,1.437,30.6159,12.557,0.9524,0.5711,13589.9186,13477.1825,6767.9246,167.7208,216796.1811,216696.1811,108374.2399,8.3018,581.3152,551.2502,82.0603,621.0669,183.4235,549.8038,182.1317,166.6269,213.5517,166.3915,167.0295
6,2010-04-05,1359.9016,0.4703,-5.783,6.1407,2.8466,2.9539,3.4446,490.5973,22.0451,0.0507,0.4868,43.7326,19.0789,0.7124,0.0266,13984.3082,13881.9659,6968.2908,144.0725,112408.8374,112308.8374,56181.141,8.1386,551.3102,523.5156,53.4392,592.1676,161.1613,522.0156,159.826,144.1391,192.9827,142.7372,193.7012
7,2010-04-06,1359.0995,0.4885,-6.7628,6.4792,4.891,5.1984,7.2507,589.0103,48.2316,-0.7833,0.11,95.5961,9.9678,0.5308,-0.1025,20136.5254,20026.7125,10044.4348,164.6979,104079.9556,103979.9556,52018.6032,8.2433,571.2326,542.2872,79.4914,611.0086,180.9825,540.4328,179.7028,164.6056,211.3568,163.4255,179.9782
8,2010-04-07,1358.2989,0.3129,-6.2913,3.6272,4.4036,4.5628,5.2335,2043.3218,38.0967,-0.0265,0.4603,75.3707,33.504,0.6889,0.0196,41488.9541,41386.3642,20721.4463,211.0415,275306.2047,275206.2047,137630.7191,8.5208,630.505,598.2933,130.2376,668.4935,225.2249,596.0173,223.9908,208.7819,253.2227,209.7483,121.2252
9,2010-04-08,1357.5001,0.2418,-4.2432,2.6758,2.6256,2.7411,3.3098,811.4473,23.9056,0.5978,0.6255,47.3019,22.8662,0.8639,0.4244,20114.7439,20011.1161,10033.1199,191.4656,204380.6908,204280.6908,102167.0003,8.4925,617.3662,582.8086,116.1771,653.6988,204.1278,580.0258,202.9489,188.0094,230.0408,190.2046,136.962
10,2010-04-09,1356.7034,0.2228,-3.7398,2.4355,1.7594,1.7744,2.0394,452.2977,15.2059,-0.2994,0.5658,30.0704,27.2998,0.6786,-0.1873,12574.4626,12465.0554,6260.8992,185.875,179858.3513,179758.3513,89905.1953,8.5808,625.3564,585.8388,121.2919,658.2678,195.3278,582.1385,194.2683,179.9097,216.6727,184.6851,133.9887
11,2010-04-10,1355.9088,0.2132,-3.1849,2.3171,1.1396,1.1723,2.1746,154.2211,15.7457,0.2259,0.542,31.1546,7.1225,0.7839,0.4609,5045.813,4933.4868,2495.9122,177.7683,124687.6437,124587.6437,62319.9092,8.4861,610.0978,573.2604,106.582,645.0701,188.7238,569.901,187.6047,172.9866,212.3741,176.5214,148.3071
12,2010-04-11,1355.1168,0.1654,-2.0448,1.7479,1.4127,1.4473,1.7602,743.5852,12.687,0.9257,0.9505,25.1047,30.7679,0.9809,0.7493,14024.9272,13922.9412,6987.8472,182.1905,251747.0938,251647.0938,125849.427,8.4769,611.0694,575.3441,110.9016,645.7954,193.9735,571.5034,192.8348,178.1179,218.4583,180.9894,144.1454
13,2010-04-12,1354.3274,0.4613,-7.5741,5.9782,3.3745,3.5735,4.5804,2186.1332,33.0237,0.3356,0.4523,65.3461,27.691,0.7425,0.2802,37442.0905,37336.9006,18697.038,178.7679,276164.5984,276064.5984,138059.5894,8.4778,608.8267,572.6563,107.7408,642.9883,190.36,568.4375,189.2315,174.5746,214.4685,177.5828,145.5402
14,2010-04-13,1353.541,0.1925,-2.744,2.0661,2.3668,2.4862,2.7713,1344.4283,20.0081,0.8546,0.8137,39.5902,39.0918,0.9574,0.6155,24597.6951,24493.723,12274.2402,170.5069,246521.2207,246421.2207,123236.996,8.4727,604.1542,566.5615,104.9892,636.738,181.0921,561.6291,180.0066,165.5635,203.635,169.3854,151.5077
15,2010-04-14,1352.7578,0.212,-2.6295,2.303,3.8721,4.0118,4.9203,755.1708,33.3634,0.4068,0.7055,66.0995,17.766,0.8382,0.3129,21446.228,21334.8206,10697.7223,126.848,104206.2385,104106.2385,52080.5794,8.2832,559.7093,522.2244,61.8514,592.7664,137.25,517.3359,136.1727,121.8881,159.6615,125.7108,198.248
16,2010-04-15,1351.9779,0.388,-3.12,4.7449,5.1054,5.3523,6.5398,976.3303,37.0662,-0.2496,0.3998,73.7718,17.2183,0.6509,-0.136,23324.2256,23201.5263,11634.7079,30.5721,18909.5699,18809.5699,9433.0549,7.721,427.1186,384.2561,79.445,454.9144,26.1185,377.384,26.6344,36.1822,22.7329,31.2564,331.4944
17,2010-04-18,1349.6608,0.2499,-2.1867,2.7795,7.0423,7.5384,9.1306,500.4743,56.5114,0.2185,0.6339,112.1988,10.1383,0.7876,0.156,21405.3023,21289.1394,10678.1757,40.9546,16885.3722,16766.5054,8417.5347,7.9536,468.0368,425.2482,53.8924,493.8555,44.8453,416.6515,44.2695,37.5733,57.3421,40.5498,288.8013
18,2010-04-19,1348.8967,0.159,-0.5433,1.674,-4.6267,6.2995,6.8603,1136.2132,39.6239,0.4133,1.4551,78.8182,12.5573,0.9092,0.2537,28444.7861,28342.4612,14200.242,59.8983,48389.1089,48289.1089,24172.9846,7.7647,476.9603,445.2867,39.3655,513.7224,72.6637,440.587,71.4896,56.8837,99.2409,58.6917,276.2723
19,2010-04-20,1348.137,0.1627,-0.6459,1.7156,1.2831,1.365,1.831,337.3879,13.0282,0.8725,0.9339,25.7863,15.531,0.9671,0.6829,9047.9762,8944.7079,4499.0865,96.9311,91835.7518,91735.7518,45893.7914,8.4096,549.9159,503.8416,56.6337,572.2611,102.1767,493.2597,101.3476,88.4192,115.3939,96.328,204.0498
20,2010-04-23,1345.8869,0.1808,-1.5198,1.9272,3.1959,3.1079,4.1524,1141.1513,27.5764,0.8195,1.1132,54.6591,22.7445,0.9612,0.5942,23946.5664,23836.2135,11947.7712,100.4026,114054.9268,113954.9268,57004.5396,8.1902,534.5777,496.2914,45.9461,563.9634,110.0821,487.8297,109.0549,95.0908,130.8939,99.4846,219.1194
21,2010-04-25,1344.413,0.457,-5.5045,5.902,2.8034,3.2111,3.7534,850.9766,25.079,0.541,0.5857,49.7023,18.6264,0.8391,0.3596,20605.1794,20490.8648,10275.8878,91.1722,90534.7335,90434.7335,45244.2435,8.2136,531.0561,490.9295,32.7466,559.2063,99.5721,481.6828,98.5924,84.9142,118.4949,90.2235,224.1769
22,2010-04-26,1343.6845,0.2077,-2.0796,2.2498,1.9753,1.9777,2.8298,175.9047,20.6294,0.689,1.0066,40.8122,9.1452,0.9289,0.5905,7709.2487,7604.9308,3829.9597,104.907,59504.7943,59404.7943,29728.812,8.4378,555.9626,510.244,62.0407,576.8665,110.5013,497.1896,109.667,96.7527,123.9789,104.4153,193.7385
23,2010-04-28,1342.2453,0.1787,-2.0932,1.9026,3.3788,3.6258,4.2644,2896.0204,31.5493,0.8485,0.8548,62.3989,37.998,0.9578,0.6471,43941.6016,43838.1972,21947.0819,145.2096,255546.887,255446.887,127750.5757,8.4749,586.6059,544.2096,99.2556,609.6969,152.669,531.4363,151.7635,138.5195,169.0658,144.7337,165.3438
24,2010-04-29,1341.5351,0.2491,-3.2354,2.7687,0.8756,0.9029,0.982,30.7675,6.3734,0.9902,0.9812,12.6393,11.4844,0.9975,0.8727,1963.6924,1845.0053,952.6654,149.0176,52574.7275,52474.7275,26262.8547,8.0247,539.2426,516.346,50.4205,577.7406,168.972,509.7054,167.5948,151.9323,203.004,147.9171,191.2459
25,2010-05-01,1340.1342,0.4804,-4.2591,6.3273,1.6101,1.9446,3.0176,258.5423,19.313,0.2428,0.3082,38.3128,7.4107,0.6352,0.3267,8355.3642,8243.9616,4151.3403,22.8406,13083.6495,12968.3264,6514.5028,8.0612,453.3166,405.6435,42.6858,469.8586,14.0128,388.9424,13.9694,18.4597,14.679,14.4211,291.6549
26,2010-05-04,1338.0847,0.3351,-5.696,3.9448,0.467,0.4711,0.5764,12.2372,4.4276,-2.7057,0.5031,8.7513,6.9115,0.4475,-0.9968,1047.3374,944.9393,498.3573,162.9389,49982.7935,49882.7935,24966.685,8.4838,615.9788,578.417,110.2596,646.9373,186.7877,568.973,185.7827,171.8141,188.3177,177.2648,145.149
27,2010-05-05,1337.4161,0.2272,-3.7905,2.4904,1.0853,1.1037,1.3192,733.7406,10.5973,0.933,0.9476,20.931,37.6045,0.9827,0.7414,13651.0286,13537.4545,6797.7803,143.7364,225784.7234,225684.7234,112868.0213,8.6815,609.591,561.4113,122.1906,623.7485,163.704,541.8207,162.9336,150.5056,158.8674,158.6151,126.6634
28,2010-05-06,1336.7549,0.2552,-4.0827,2.8469,2.6557,2.6102,4.7187,87.7575,35.8823,0.4853,1.1246,70.9348,3.8516,0.8991,0.572,5017.7437,4907.882,2483.7658,138.9973,44132.3111,44032.3111,22043.5149,8.4635,579.4979,539.5976,90.9758,602.4683,163.2942,524.5939,162.3187,149.2917,166.9139,152.6569,161.2418
29,2010-05-08,1335.4561,0.4957,-11.9198,6.6153,6.3786,6.9367,8.5491,5694.2681,68.3645,-0.1707,0.2805,135.038,33.449,0.5821,-0.0157,92003.3899,91899.9243,45980.1031,143.2472,259632.1401,259532.1401,129795.3446,8.6518,607.1114,559.6216,122.2737,621.0727,163.5427,538.9816,162.7665,150.3218,159.0186,158.2257,130.1615
30,2010-05-09,1334.8186,0.3534,-10.2403,4.2144,13.9404,15.7202,17.106,12448.9559,126.8788,-0.4033,0.3138,250.9323,41.998,0.63,-0.0605,186993.0747,186890.3574,93479.411,159.0903,285735.8627,285635.8627,142851.4843,8.4266,600.6752,563.5047,117.5108,625.894,184.5544,548.9717,183.5443,169.8146,187.7296,173.7007,148.0698
31,2010-05-10,1334.1894,0.1768,-2.7441,1.8802,2.5868,2.7087,2.8419,3313.7989,22.265,0.9326,0.931,43.9934,78.6522,0.9822,0.7294,43875.7764,43770.5393,21912.9998,167.2936,362952.516,362852.516,181452.6789,8.5824,618.4822,576.7778,131.5298,638.7379,190.8434,559.2073,189.9221,176.6919,191.1543,182.0846,123.1803
32,2010-05-11,1333.5685,0.3244,-5.167,3.7902,2.4024,2.4268,2.5786,785.6757,17.0733,0.2288,0.7336,33.8431,46.2937,0.8116,-0.0882,17394.8261,17292.3581,8673.0854,172.4407,188823.9214,188723.9214,94388.25,8.1507,580.6326,558.5146,82.4136,621.67,206.3428,552.2155,204.9858,189.3685,220.6078,186.6742,161.0155
33,2010-05-12,1332.9561,0.3177,-4.9219,3.695,1.1698,1.1775,1.32,120.5097,10.1022,0.8065,0.9291,19.9686,19.3187,0.9505,0.5762,5266.3299,5160.5774,2607.3868,104.3148,62656.0719,62556.0719,31303.696,8.5273,570.3215,523.7554,79.4422,585.5022,123.6332,503.2016,122.8768,110.5268,118.294,118.9202,170.4894
34,2010-05-13,1332.3525,0.3074,-7.2165,3.5496,4.6697,5.0119,6.3512,672.459,51.5317,0.1829,0.3885,101.7665,12.9718,0.6943,0.2309,26500.0742,26390.3893,13225.7915,135.0594,96497.3362,96397.3362,48226.8437,8.6608,601.4068,552.2294,119.0526,612.2133,154.1939,528.2785,153.4796,141.4408,147.848,150.1765,133.6833
35,2010-05-14,1331.7577,0.2858,-6.3451,3.253,11.0361,11.9738,12.7194,3630.9103,90.1157,0.1009,0.5307,178.3775,31.6077,0.7647,0.0465,85263.0999,85156.2157,42611.1886,139.5067,151670.5913,151570.5913,75816.6553,8.2957,572.3465,537.4756,86.1461,599.912,167.2987,523.0869,166.196,152.0569,173.7302,154.1799,169.3056
36,2010-05-15,1331.1718,0.4416,-9.3327,5.6319,8.6906,9.3222,10.5622,4293.1604,79.0152,-0.2718,0.372,156.2473,32.1452,0.6475,-0.0308,87334.289,87232.1145,43646.882,117.0115,153986.9784,153886.9784,76973.7703,8.4608,570.6421,527.2764,84.8521,588.3172,139.1872,507.1319,138.3241,125.6069,138.2501,131.5822,169.3152
37,2010-05-16,1330.5951,0.2367,-2.4618,2.6107,2.9736,3.0919,3.666,300.337,22.7048,0.5107,0.5948,45.0777,13.8689,0.838,0.3951,10889.3926,10786.1309,5420.7139,72.0267,42760.7079,42660.7079,21357.187,7.9143,509.2636,477.3927,20.3987,544.0481,98.2467,467.9295,97.1417,82.8048,103.6044,86.0914,250.5733
38,2010-07-12,1316.0664,0.1966,-1.5577,2.1158,2.1922,2.2237,2.554,497.6494,19.638,0.868,0.9504,38.8147,25.1511,0.9668,0.6449,15282.0727,15174.4618,7615.4106,22.1784,16287.7396,16187.7396,8120.1468,8.4646,539.3132,489.7757,63.8259,544.3185,96.9735,454.7344,96.3279,85.0044,29.4353,93.9219,185.3492
