,Name,Weather,Latitude,Longitude,Elevation,Analized days,Total data,CSI data,SSPC_MBD,SSPC_MAPD,SSPC_MAD,SSPC_RMSD,SSPC_SD,SSPC_NSE_o_R2,SSPC_SBF,SSPC_U95,SSPC_TS,SSPC_WIA,SSPC_LCE,SSPC_KSI,SSPC_OVER,SSPC_CPI,SSPC_KSI_norm,SSPC_OVER_norm,SSPC_CPI_norm,ESRA_RMSD,I&P_RMSD,HLJ_RMSD,Mghouchi_RMSD,Biga_RMSD,FR1999_RMSD,S1994_RMSD,DPP_RMSD,M1976_RMSD,L1970_RMSD,Kasten_RMSD,SP1965_RMSD,Hourwitz_RMSD,Om
1,Alert,E,82.49,-62.42,127,1642,2312562,229945,6.43,7.47,6.7,9.28,9.34,-0.13,0.46,25.82,23.17,0.69,0.12,1118.77,706.54,460.97,103596.93,64941.89,42139.35,14.09,1.2,77.75,71.97,12.03,81.12,17.75,69.53,17.64,16.14,16.98,16.64,31.62,693.69
2,Alice Springs,B,-23.798,133.888,547,3834,5175888,1355300,2.98,3.6,3.09,4.68,4.71,0.58,0.74,13.02,18.08,0.91,0.63,250.74,13.49,68.4,18817.44,2255.24,5270.51,6.59,0.12,43.87,43.47,11.63,57.08,11.51,41.17,11.21,7.71,8.21,10.88,13.01,887.98
3,Barrow,E,71.323,-156.607,8,2800,3899520,202266,5.18,6.23,5.53,7.97,8.08,0.13,0.54,22.25,15.25,0.75,0.28,434.73,124.66,143.83,27155.92,9960.84,9283.18,11.36,1.49,76.29,65.05,9.95,73.79,12.84,62.15,12.8,12.72,13.89,12.04,32.92,702.36
4,Bermuda,C,32.267,-64.667,8,2800,1985166,194582,5.66,7.44,6.3,9.15,9.28,0.36,0.63,25.54,11.85,0.81,0.38,74.61,18.51,27.85,11501.25,2306.45,3456.5,8.52,1.44,58.77,39.8,10.72,51.17,8.79,37.76,8.81,8.83,9.76,8.94,32.82,751.33
5,Billings,D,36.605,-97.516,317,3499,4889830,828500,4.7,6.18,5.28,7.29,7.34,0.51,0.7,20.28,18.31,0.86,0.46,107.64,32.76,38.74,19766.37,4362.99,6035.99,7.23,0.64,51.87,46.01,12.41,58.23,10.57,43.68,10.53,10.29,7.62,10.44,26.68,783.58
6,Bondville,D,40.066667,-88.366667,213,3773,5377813,563402,4.37,5.47,4.78,6.68,6.75,0.46,0.68,18.62,15.96,0.85,0.44,2223.36,389.47,656.55,15961.1,2960.05,4733.63,6.93,0.9,59.65,51.29,10.91,62.36,9.98,48.92,9.91,9.02,7,9.61,25.03,782.86
7,Boulder,B,40.05,-105.007,1577,2373,3288267,525374,3.87,4.59,4.09,5.87,5.93,0.46,0.66,16.35,16.27,0.84,0.43,4167.91,306.78,1121.61,20206.52,4633.35,6212.91,7.09,2.92,18.19,52.58,13.93,69.96,17.29,50.2,14.71,6.94,7.33,14.23,13.4,868.84
8,"Boulder, SURFRAD_TL",B,40.125,-105.237,1689,3773,5294987,827227,4,4.72,4.21,6.11,6.18,0.42,0.64,17.04,15.23,0.83,0.42,655.85,105.33,193.35,20262.41,4950.89,6306.38,7.6,3.26,17.36,54.88,15.36,72.35,19.35,52.78,16.41,7.15,8.19,15.89,12.65,873.83
9,Brasilia,A,-15.601,-47.713,1023,3407,2926866,264362,3.75,4.7,4.1,5.68,5.74,0.51,0.72,15.83,15.41,0.89,0.53,593.58,14.85,154.95,13610.74,2340.56,3990.66,6.22,1.26,25.94,45.58,6.34,61.76,6.82,42.56,6.17,8.71,5.45,5.83,25.48,785.23
10,Budapest,C,47.4291,19.1822,139.1,580,835200,93125,4.7,6.19,5.41,7.36,7.44,0.5,0.73,20.51,17.27,0.85,0.43,119.03,16.48,37.56,16796.93,3077.9,4972.39,7.46,1.15,61.41,50.63,9.79,61.6,8.14,47.72,8.14,8.21,7.72,8.1,34.9,718.92
11,Cabauw,C,51.9711,4.9267,0,4018,5471911,376528,5.63,7.56,6.66,8.93,9.06,0.19,0.7,24.92,14.54,0.81,0.28,158.88,26.76,50.87,14352.85,3324.4,4423.77,8.37,1.52,69.46,54.66,10.42,64.67,8.77,51.81,8.77,8.77,9.34,8.63,37.89,694.67
12,Camborne,C,50.21666,-5.31666,88,2557,3562352,201691,6.07,7.52,6.56,9.25,9.41,0.19,0.62,25.87,12.46,0.78,0.29,234.9,55.14,77.13,13433.99,3347.79,4200.07,9.9,1.27,65.48,53.37,10.79,63.92,9.7,50.56,9.68,9.51,11.48,9.53,34.13,722.63
13,Cape Baranova,E,79.27,101.75,0,366,527040,27523,5.32,6.4,5.66,8.51,8.59,0.09,0.48,23.71,14.57,0.71,0.25,375.21,188.34,145.14,40012.48,20238.59,15067.02,13.1,1.51,80.39,70.29,11.57,78.79,16.44,67.53,16.4,16.4,15.75,15.47,32.19,697.65
14,Carpentras,C,44.083,5.059,100,3287,4569665,833204,4.97,6.05,5.28,7.34,7.4,0.46,0.67,20.44,18.83,0.84,0.42,1516.97,166.98,424.66,24301.28,5476.01,7447.99,8.07,1.19,62.55,49.89,9.4,60.4,9.31,47.34,9.27,8.82,9.08,8.96,25.47,777.36
15,CENER,C,42.816,-1.601,471,4018,5707508,719367,4.83,5.94,5.17,7.38,7.48,0.38,0.64,20.6,15.81,0.82,0.39,579.17,159,188.23,18391.05,3954.58,5590.1,7.66,0.25,48.84,49.09,9.6,61.8,9.45,46.23,9.28,7.85,8.43,8.99,24.47,787.97
16,Chesapeake Light,C,36.905,-75.713,37,2512,3492146,520782,5.21,6.53,5.55,7.79,7.86,0.38,0.64,21.69,17.12,0.83,0.41,986.23,25.76,256.89,20139.3,4396.36,6137.81,8,1.35,60.63,44.14,12.76,54.92,10.98,41.84,10.97,10.93,8.77,10.9,28.92,772.91
17,Cocos Island,A,-12.193,96.835,6,3804,4262669,448328,6.77,9.01,7.46,10.65,10.8,0.19,0.6,29.74,12.16,0.79,0.31,88.29,25.41,33.75,13082.1,3216.62,4080.01,9.79,1.44,51.37,29.66,13.09,41.8,12.55,27.2,12.58,12.62,11.01,12.83,35.54,752.83
18,Concordia Station,E,-75.1,123.383,3233,4018,5586490,903994,4.05,4.53,4.13,6.04,6.06,0.18,0.57,16.77,18.9,0.79,0.34,8898.11,1118.83,2507.25,91977.97,49385.6,35343.91,13.92,8.45,25.64,72.97,30.4,91.06,43.49,73.39,33.5,7.38,15.46,32.72,9.85,967.01
19,Darwin,A,-12.425,130.891,30,1832,2636759,370383,5.74,7.45,6.28,8.39,8.47,0.35,0.69,23.36,17.35,0.85,0.39,265.58,25.48,76.96,14765.62,2799.68,4395.52,7,1.39,53.44,34.19,10.12,45.73,9.9,31.21,9.92,10.09,6.75,10.12,34.22,750.61
